"timestamp","x.7874","x.7877","x.7878","x.7879","x.7880","y.7874","y.7877","y.7878","y.7879","y.7880"
"2/25/88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2/26/88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2/27/88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2/28/88",154013.6561,147532.325,5271.209164,170504.1314,-430.7213713,-27854.32912,-84786.13157,-82673.42796,-33302.88053,-9507.166228
"2/29/88",154300.8036,144086.554,6624.904902,158731.0806,3425.260429,-27854.32912,-79893.55479,-82673.42796,-32413.32112,-11953.45461
"3/1/88",155203.2675,144209.6172,3302.19718,156228.7945,1087.058699,-24740.87118,-78559.21567,-86120.47069,-33970.05009,-13843.76837
"3/2/88",149214.1894,143676.3432,2522.796604,151224.2224,3056.070682,-23406.53206,-78781.60553,-84674.93664,-34748.41458,-13287.79373
"3/3/88",147532.325,143963.4907,3220.155014,155326.3307,1661.353861,-25074.45596,-79115.19031,-84118.96201,-32524.51604,-13732.57344
"3/4/88",147860.4936,144496.7648,4122.61884,152331.7917,2153.606857,-25185.65088,-69218.84184,-83674.1823,-32969.29575,-12954.20895
"3/5/88",147737.4304,142937.9637,4696.914002,154013.6561,2153.606857,-25296.84581,-69218.84184,-83785.37723,-30967.78707,-12398.23432
"3/6/88",147655.3882,142035.4998,3056.070682,145891.4816,5476.314578,-25630.43059,-60545.63756,-84118.96201,-21849.80309,-11731.06476
"3/7/88",147573.346,142773.8793,5845.504325,148434.7888,5353.251329,-21627.41323,-60323.2477,-81227.89391,-20626.65889,-17068.42124
"3/8/88",145030.0389,143717.3642,5148.145915,146670.8822,1251.143031,-20960.24367,-59989.66292,-82117.45333,-17179.61617,-19625.90455
"3/9/88",145317.1865,144989.0178,2604.83877,146958.0298,1661.353861,-16512.44661,-56653.81513,-80783.11421,-16290.05675,-19292.31977
"3/10/88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3/11/88",145768.4184,143840.4275,10809.05537,143020.0058,-3302.19718,-15066.91256,-50204.50938,-75000.97802,-13176.59881,-16512.44661
"3/12/88",141994.4788,141133.036,11465.39269,140599.7619,-1702.374944,-12843.01403,-52539.60284,-77892.04611,-12064.64954,-15956.47197
"3/13/88",139615.2559,140476.6987,12244.79327,134528.6416,-2645.859852,-5726.538722,-51872.43328,-77669.65626,7728.047402,-14844.52271
"3/14/88",132559.6297,141215.0782,8183.706055,134610.6838,-2604.83877,9284.776375,-50760.48401,-79226.38523,7839.242328,-11953.45461
"3/15/88",134569.6627,141666.3101,10111.69696,134692.726,-1661.353861,8061.632182,-49537.33982,-80338.3345,7728.047402,-11731.06476
"3/16/88",134733.7471,141707.3312,11014.16078,129811.2171,-1005.016533,9062.386522,-49982.11953,-88121.97937,5504.148869,-10619.11549
"3/17/88",136005.4006,143676.3432,11260.28728,135800.2952,-963.9954501,7172.072769,-49092.56011,-88677.954,4169.809749,-12064.64954
"3/18/88",135020.8946,143307.1534,13106.23601,130713.6809,-61.53162448,7950.437255,-45311.93261,-88566.75907,4836.979309,-15066.91256
"3/19/88",127021.7835,139451.1716,14090.74201,130713.6809,-5107.124832,12620.62417,-46535.0768,-89901.09819,3947.419896,-13954.96329
"3/20/88",123329.886,141666.3101,15444.43774,125216.8558,-4696.914002,14955.71763,-46423.88187,-88900.34385,6616.098135,-13732.57344
"3/21/88",116561.4073,140886.9095,11137.22403,124765.6239,-5435.293495,17290.81109,-49537.33982,-89567.51341,7283.267695,-15734.08212
"3/22/88",119596.9674,141953.4577,13803.59442,123822.139,-5558.356744,16290.05675,-48314.19563,-89233.92863,8617.606815,-14955.71763
"3/23/88",121319.8529,138794.8343,13393.38359,121565.9794,-6091.630823,15400.49734,-53095.57747,-88677.954,7283.267695,-14399.743
